record_id,split,stance_code,stance_category,annotator_1_labels,annotator_2_labels,adjudicated_gold_labels
ATTR-DEV-0001,dev,3,Delayed vaccination,"[""A1b"",""A2a""]","[""A1b"",""A2a""]","[""A1b"",""A2a""]"
ATTR-DEV-0002,dev,3,Delayed vaccination,"[""B5b""]","[""B5b""]","[""B5b""]"
ATTR-DEV-0003,dev,3,Delayed vaccination,"[""A1c"",""A1a""]","[""A1b""]","[""A1c""]"
ATTR-DEV-0004,dev,3,Delayed vaccination,"[""B3b""]","[""B3b"",""B3a""]","[""B3a""]"
ATTR-DEV-0005,dev,3,Delayed vaccination,"[""B5b""]","[""B2b"",""B2c""]","[""B5b""]"
ATTR-DEV-0006,dev,3,Delayed vaccination,"[""B6a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0007,dev,3,Delayed vaccination,"[""A2a""]","[""B6a""]","[""B6a""]"
ATTR-DEV-0008,dev,3,Delayed vaccination,"[""A2a""]","[""C1c""]","[""C1c""]"
ATTR-DEV-0009,dev,3,Delayed vaccination,"[""A2a""]","[""A2d""]","[""A2d""]"
ATTR-DEV-0010,dev,3,Delayed vaccination,"[""A1c"",""B6a""]","[""A1c"",""B6a""]","[""A1c"",""B6a""]"
ATTR-DEV-0011,dev,3,Delayed vaccination,"[""A3c"",""A3d""]","[""A3c""]","[""A3d""]"
ATTR-DEV-0012,dev,3,Delayed vaccination,"[""A3d""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0013,dev,3,Delayed vaccination,"[""A3d""]","[""A3d""]","[""A3d""]"
ATTR-DEV-0014,dev,3,Delayed vaccination,"[""A2a""]","[""A1c""]","[""A1c""]"
ATTR-DEV-0015,dev,3,Delayed vaccination,"[""A3d""]","[""A2a""]","[""A3d""]"
ATTR-DEV-0016,dev,3,Delayed vaccination,"[""A1c""]","[""A2a""]","[""A1c""]"
ATTR-DEV-0017,dev,3,Delayed vaccination,"[""C1c""]","[""C1c""]","[""C1c""]"
