month,total_posts,delayed_vaccination_n,vaccine_refusal_n,total_label_mentions,A1_total_n,A1_delayed_vaccination_n,A1_vaccine_refusal_n,A2_total_n,A2_delayed_vaccination_n,A2_vaccine_refusal_n,A3_total_n,A3_delayed_vaccination_n,A3_vaccine_refusal_n,B1_total_n,B1_delayed_vaccination_n,B1_vaccine_refusal_n,B2_total_n,B2_delayed_vaccination_n,B2_vaccine_refusal_n,B3_total_n,B3_delayed_vaccination_n,B3_vaccine_refusal_n,B4_total_n,B4_delayed_vaccination_n,B4_vaccine_refusal_n,B5_total_n,B5_delayed_vaccination_n,B5_vaccine_refusal_n,B6_total_n,B6_delayed_vaccination_n,B6_vaccine_refusal_n,B7_total_n,B7_delayed_vaccination_n,B7_vaccine_refusal_n,C1_total_n,C1_delayed_vaccination_n,C1_vaccine_refusal_n,C2_total_n,C2_delayed_vaccination_n,C2_vaccine_refusal_n,C3_total_n,C3_delayed_vaccination_n,C3_vaccine_refusal_n,C4_total_n,C4_delayed_vaccination_n,C4_vaccine_refusal_n,A1a_n,A1b_n,A1c_n,A1d_n,A2a_n,A2b_n,A2c_n,A2d_n,A2e_n,A3a_n,A3b_n,A3c_n,A3d_n,A3e_n,B1a_n,B1b_n,B1c_n,B2a_n,B2b_n,B2c_n,B2d_n,B3a_n,B3b_n,B4a_n,B4b_n,B5a_n,B5b_n,B6a_n,B7a_n,C1a_n,C1b_n,C1c_n,C1d_n,C2a_n,C2b_n,C3a_n,C3b_n,C3c_n,C3d_n,C3e_n,C3f_n,C4a_n,C4b_n,C4c_n,C4d_n,D0_n
2016-01,74,47,27,148,56,29,27,1,1,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,56,0,1,0,0,1,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,46,29,17,90,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,17,0,17,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,17,17,0
2016-03,424,72,352,889,102,0,102,18,0,18,72,9,63,0,0,0,24,0,24,11,11,0,8,0,8,14,0,14,130,37,93,18,18,0,27,27,0,4,4,0,296,27,269,3,0,3,11,0,102,0,18,0,0,0,0,0,0,0,72,0,0,0,0,0,24,0,0,0,11,8,0,14,0,130,18,0,0,27,0,4,0,151,0,0,0,0,296,0,0,3,0,0
2016-04,30,12,18,41,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2016-05,19,8,11,19,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2016-06,17,9,8,25,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6
2016-07,15,5,10,16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2016-08,20,16,4,20,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2016-09,66,50,16,101,0,0,0,66,50,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,147,111,36,182,16,16,0,36,0,36,0,0,0,29,29,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,16,0,36,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,52
