month,total_posts,stance_1_pro_vaccination_n,stance_1_pro_vaccination_percent,stance_2_no_explicit_stance_n,stance_2_no_explicit_stance_percent,stance_3_delayed_vaccination_n,stance_3_delayed_vaccination_percent,stance_4_vaccine_refusal_n,stance_4_vaccine_refusal_percent,vaccine_hesitant_n,vaccine_hesitancy_percent
2016-01,255,107,41.96078431372549,74,29.01960784313726,47,18.43137254901961,27,10.588235294117647,74,29.01960784313726
2016-02,162,74,45.67901234567901,42,25.925925925925924,29,17.901234567901234,17,10.493827160493826,46,28.39506172839506
2016-03,849,85,10.011778563015312,340,40.04711425206125,72,8.480565371024735,352,41.46054181389871,424,49.94110718492344
2016-04,105,34,32.38095238095238,41,39.04761904761905,12,11.428571428571429,18,17.142857142857142,30,28.57142857142857
2016-05,70,21,30.0,30,42.857142857142854,8,11.428571428571429,11,15.714285714285714,19,27.142857142857142
2016-06,73,27,36.986301369863014,29,39.726027397260275,9,12.32876712328767,8,10.95890410958904,17,23.28767123287671
2016-07,99,22,22.22222222222222,62,62.62626262626263,5,5.05050505050505,10,10.1010101010101,15,15.151515151515152
2016-08,107,15,14.018691588785046,72,67.28971962616822,16,14.953271028037381,4,3.7383177570093453,20,18.69158878504673
2016-09,344,101,29.360465116279073,177,51.45348837209303,50,14.534883720930234,16,4.651162790697675,66,19.186046511627907
2016-10,879,367,41.75199089874857,365,41.52445961319681,111,12.627986348122866,36,4.09556313993174,147,16.723549488054605
2016-11,560,220,39.285714285714285,238,42.5,77,13.750000000000002,25,4.464285714285714,102,18.21428571428571
2016-12,643,247,38.41368584758943,288,44.7900466562986,78,12.130637636080872,30,4.665629860031104,108,16.796267496111973
2017-01,322,108,33.54037267080746,134,41.61490683229814,57,17.70186335403727,23,7.142857142857142,80,24.84472049689441
2017-02,219,86,39.26940639269406,87,39.726027397260275,27,12.32876712328767,19,8.67579908675799,46,21.00456621004566
2017-03,234,52,22.22222222222222,124,52.991452991452995,35,14.957264957264957,23,9.82905982905983,58,24.786324786324787
2017-04,135,49,36.2962962962963,67,49.629629629629626,15,11.11111111111111,4,2.9629629629629632,19,14.074074074074074
2017-05,105,31,29.523809523809526,56,53.333333333333336,12,11.428571428571429,6,5.714285714285714,18,17.142857142857142
2017-06,93,28,30.107526881720432,50,53.76344086021505,8,8.60215053763441,7,7.526881720430108,15,16.129032258064516
2017-07,114,32,28.07017543859649,66,57.89473684210527,10,8.771929824561402,6,5.263157894736842,16,14.035087719298245
2017-08,404,122,30.198019801980198,199,49.257425742574256,58,14.356435643564355,25,6.188118811881188,83,20.544554455445542
2017-09,624,277,44.391025641025635,226,36.217948717948715,101,16.185897435897438,20,3.205128205128205,121,19.391025641025642
2017-10,1155,622,53.85281385281385,305,26.406926406926406,189,16.363636363636363,39,3.3766233766233764,228,19.74025974025974
2017-11,963,485,50.36344755970924,272,28.245067497403948,158,16.40706126687435,48,4.984423676012461,206,21.391484942886812
2017-12,1240,533,42.983870967741936,474,38.225806451612904,191,15.403225806451612,42,3.387096774193549,233,18.79032258064516
2018-01,2806,787,28.04704205274412,1513,53.92017106200998,410,14.611546685673558,96,3.4212401995723454,506,18.0327868852459
2018-02,1874,495,26.41408751334045,1056,56.35005336179295,240,12.806830309498398,83,4.429028815368197,323,17.235859124866597
2018-03,971,243,25.025746652935116,572,58.90834191555098,120,12.358393408856848,36,3.7075180226570548,156,16.065911431513904
2018-04,413,108,26.150121065375302,245,59.32203389830508,41,9.927360774818402,19,4.600484261501211,60,14.527845036319611
2018-05,435,93,21.379310344827587,287,65.97701149425286,38,8.735632183908045,17,3.9080459770114944,55,12.643678160919542
2018-06,398,65,16.331658291457288,269,67.58793969849246,52,13.06532663316583,12,3.015075376884422,64,16.08040201005025
2018-07,993,109,10.976837865055387,482,48.539778449144,117,11.782477341389729,285,28.700906344410875,402,40.483383685800604
2018-08,307,72,23.452768729641694,190,61.88925081433225,24,7.81758957654723,21,6.840390879478828,45,14.65798045602606
2018-09,679,235,34.609720176730484,353,51.98821796759942,71,10.456553755522828,20,2.945508100147275,91,13.402061855670103
